ft_equipment_id,ft_facility_code,ft_item_type,ft_library_id,ft_model_name,ft_manu_name,ft_serial_num,ft_power_source,ft_ref_gas_type,fi_cfc_free,fn_dimh_4deg,fn_diml_4deg,fn_dimw_4deg,fn_gross_volume_4deg,fn_net_volume_4deg,fn_dimh_20deg,fn_diml_20deg,fn_dimw_20deg,fn_gross_volume_20deg,fn_net_volume_20deg,fi_supply_year,fi_supply_source,fi_operating_cond,fi_work_status,fn_temp_high,fn_temp_low,fi_food,fi_tagged,fi_installation,ft_comment,fn_temp_monitor,fi_temp_none,fi_temp_dial,fi_temp_stem,fi_temp_30_visual,fi_temp_30_sms,fi_temp_number,ft_work_remarks,fn_not_work_spare_parts,fn_not_work_finance,fn_not_work_fuel,fn_not_work_boarded,fn_days_8,fn_days_2
R-000517,03031,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,68087988,E,Unknown,1,,,,103,30,,,,0,0,2000,,1,1,,,,0,,,1,,,,,,,,,,,,,
R-000518,03032,CREG,E321M,RCW 42 EG,Dometic,4043613,EG,NH3,1,,,,40,10.5,,,,1.6,0,2011,,3,3,,,,0,,,1,,,,,,,,,,,,,
R-000519,03043,CREG,E321M,RCW 42 EG,Dometic,7220404,EG,NH3,1,,,,40,10.5,,,,1.6,0,2010,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000520,03052,CREG,E321M,RCW 42 EG,Dometic,8350528,EG,NH3,1,,,,40,10.5,,,,1.6,0,2010,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000521,03059,IFEK,E3102M,GR 265 EK,Zero,704800041,EK,NH3,1,,,,0,0,,,,215,16,2006,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000522,03066,CREG,E321M,RCW 42 EG,Dometic,,EG,NH3,1,,,,40,10.5,,,,1.6,0,2006,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000523,03068,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,,E,Unknown,1,,,,103,30,,,,0,0,2000,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000466,03069,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,02920110361,E,Unknown,1,,,,103,30,,,,0,0,2011,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000467,03070,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,02633110175,E,Unknown,1,,,,103,30,,,,0,0,2000,,3,3,,,,0,,,3,,,,,,,,,,,,,
R-000468,03071,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,02819110356,E,Unknown,1,,,,103,30,,,,0,0,2010,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000469,03072,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,VH542161,E,Unknown,1,,,,103,30,,,,0,0,1998,,3,3,,,,0,,,1,,,,,,,,,,,,,
R-000470,03073,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,90800105,E,Unknown,1,,,,103,30,,,,0,0,2000,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000771,03088,CREG,E321M,RCW 42 EG,Dometic,,EG,NH3,1,,,,40,10.5,,,,1.6,0,2010,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000462,03089,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,,E,Unknown,1,,,,103,30,,,,0,0,2001,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000652,03090,URAC,NP0001,domestic fridge with freezer,domestic manufacturer,61200325,E,Unknown,1,,,,68.7,24,,,,7.75,0,2008,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000560,03091,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,,E,Unknown,1,,,,103,30,,,,0,0,2011,,1,1,,,,0,,,1,,,,,,,,,,,,,
R-000561,03092,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,503TRHZ2009,E,Unknown,1,,,,103,30,,,,0,0,2007,,1,1,,,,0,,,1,,,,,,,,,,,,,
