ft_equipment_id,ft_facility_code,ft_item_type,ft_library_id,ft_model_name,ft_manu_name,ft_serial_num,ft_power_source,ft_ref_gas_type,fi_cfc_free,fn_dimh_4deg,fn_diml_4deg,fn_dimw_4deg,fn_gross_volume_4deg,fn_net_volume_4deg,fn_dimh_20deg,fn_diml_20deg,fn_dimw_20deg,fn_gross_volume_20deg,fn_net_volume_20deg,fi_supply_year,fi_supply_source,fi_operating_cond,fi_work_status,fn_temp_high,fn_temp_low,fi_food,fi_tagged,fi_installation,ft_comment,fn_temp_monitor,fi_temp_none,fi_temp_dial,fi_temp_stem,fi_temp_30_visual,fi_temp_30_sms,fi_temp_number,ft_work_remarks,fn_not_work_spare_parts,fn_not_work_finance,fn_not_work_fuel,fn_not_work_boarded,fn_days_8,fn_days_2
R-000201,1001-0017,SPR,E379M,VC-150 F,Dulas,328A50083,S,R134a,,,,,127,85,,,,63,0,2004,,3,3,,,,0,,,,-1,0,0,0,0,,,0,-1,0,0,0,0
R-000202,1001-0017,ILR,E003011,MK 204,Vestfrost,20103895692,E,R134a,,,,,136,75,,,,0,0,2011,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,,
R-000203,1001-0017,UREK,E385M,V 170 EK,Sibir,22400056,EK,NH3,,,,,170,55,,,,47,36,2010,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,23,0
R-000204,1001-0018,ILR,E003011,MK 204,Vestfrost,20011901989,E,R134a,,,,,136,75,,,,0,0,2011,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000205,1001-0019,UREK,E385M,V 170 EK,Sibir,22400168,EK,NH3,,,,,170,55,,,,47,36,2001,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,29,0
R-000206,1001-0020,SPR,E379M,VC-150 F,Dulas,328A50089,S,R134a,,,,,127,85,,,,63,0,2001,,3,3,,,,0,,,,-1,0,0,0,0,,,-1,0,0,0,,
R-000207,1001-0021,UREG,E386M,V 110 GE,Sibir,80200086,EG,NH3,,,,,110,17,,,,15,0,2001,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000208,1001-0022,UREK,E389M,PR 245 EK,Zero,3211,EK,NH3,,,,,107,18,,,,20,0,2006,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000209,1001-0023,ILR,E003011,MK 204,Vestfrost,20011902025,E,R134a,,,,,136,75,,,,0,0,2007,,1,1,,,,0,,,,0,-1,0,-1,0,,,0,0,0,0,,
R-000210,1001-0024,CREG,E388M,RCW 50 EG,Dometic,2212065,EG,NH3,,,,,70,24,,,,0,0,2005,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,10,0
R-000211,1001-0025,UREK,E387M,V 110 EK,Sibir,22400139,EK,NH3,,,,,110,17,,,,15,0,2003,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,10,0
R-000212,1001-0025,SPR,E003009,MK S044,Vestfrost,328A50047,S,R134A,,,,,48,19.5,,,,0,0,2002,,3,3,,,,0,,,,-1,0,0,0,0,,,-1,0,0,0,,
R-000213,1001-0026,URAC,F1100,Non-PQS Upright refrigerator, AC electricity,Unknown,42100093,E,Unknown,1,64.4,45.5,30.2,170,55,75,42,25,0,0,2004,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,1,0
R-000214,1001-0027,UREK,E387M,V 110 EK,Sibir,80700005,EK,NH3,,,,,110,17,,,,15,0,2004,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,1,0
R-000215,1001-0028,SPR,E337M,VR50F,BP Solar,73430040,S,R134a,,,,,44,17.5,,,,5,0,2008,,2,3,,,,0,,,,-1,0,0,0,0,,,0,-1,0,0,,
R-000216,1001-0028,CREG,E388M,RCW 50 EG,Dometic,9420764,EG,NH3,,,,,70,24,,,,0,0,2010,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000217,1001-0029,CREG,E388M,RCW 50 EG,Dometic,9460351,EG,NH3,,,,,70,24,,,,0,0,2010,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,,
R-000218,1001-0030,UREK,E385M,V 170 EK,Sibir,04400148,EK,NH3,,,,,170,55,,,,47,36,2008,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,,
R-000219,1001-0032,ILR,E3111M,TCW 2000 AC,Dometic,9431955,E,R134A,,,,,118,60,,,,42,0,2010,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000220,1001-0033,IFEK,E3102M,GR 265 EK,Zero,3303,EK,NH3,,,,,0,0,,,,215,16,2009,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,2,9
R-000221,1001-0034,CREG,E388M,RCW 50 EG,Dometic,2212043,EG,NH3,,,,,70,24,,,,0,0,2010,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,,
R-000223,1001-0035,IFEK,E3102M,GR 265 EK,Zero,3310,EK,NH3,,,,,0,0,,,,215,16,2009,,3,3,,,,0,,,,-1,0,0,0,0,,,-1,0,0,0,,
R-000222,1001-0035,CREG,E388M,RCW 50 EG,Dometic,9420768,EG,NH3,,,,,70,24,,,,0,0,2005,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000224,1001-0036,ILR,E003011,MK 204,Vestfrost,20011901995,E,R134a,,,,,136,75,,,,0,0,2004,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000225,1001-0036,IFAC,E003004,TFW 800,Dometic,2215067,E,R134A,,,,,0,0,,,,247,0,2004,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000226,1001-0037,UREK,E387M,V 110 EK,Sibir,22400037,EK,NH3,,,,,110,17,,,,15,0,2010,,1,1,,,,0,,,,0,-1,0,-1,0,,,0,0,0,0,0,8
R-000227,1001-0037,UREK,E387M,V 110 EK,Sibir,22400046,EK,NH3,,,,,110,17,,,,15,0,2010,,3,3,,,,0,,,,-1,0,0,0,0,,,-1,0,0,0,,
R-000228,1001-0038,UREG,E390M,GR 245 G/E,Zero,3309,EG,NH3,,,,,107,18,,,,20,0,2008,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,2,0
R-000229,1001-0039,IFAC,E003004,TFW 800,Dometic,2215082,E,R134A,,,,,0,0,,,,247,0,2004,,1,1,,,,0,,,,0,0,0,-1,0,,,0,0,0,0,0,0
R-000230,1001-0039,ILR,E003007,MK304,Vestfrost,20011901998,E,R134A,,,,,218,105,,,,0,0,2005,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000231,1001-0039,CFAC,E397M,MF 214,Vestfrost,AE98280005,E,R134a,,,,,0,0,,,,213,192,2002,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000232,1001-0039,CREK,E391M,RCW 50 EK,Dometic,9420801,EK,NH3,,,,,70,24,,,,2.4,0,2010,,1,2,,,,0,,,,0,0,0,0,0,,,0,0,0,0,,
R-000233,1001-0039,IFEK,E3102M,GR 265 EK,Zero,3306,EK,NH3,,,,,0,0,,,,215,16,2009,,3,3,,,,0,,,,0,-1,0,0,0,,,0,0,0,-1,0,0
R-000234,1001-0039,ILR,E3111M,TCW 2000 AC,Dometic,9431952,E,R134A,,,,,118,60,,,,42,0,2010,,1,2,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000235,1001-0039,CREG,E388M,RCW 50 EG,Dometic,2212079,EG,NH3,,,,,70,24,,,,0,0,2005,,3,3,,,,0,,,,0,-1,0,0,0,,,0,0,0,-1,0,0
R-000236,1001-0039,IFEK,E3102M,GR 265 EK,Zero,GR1970,EK,NH3,,,,,0,0,,,,215,16,2009,,3,3,,,,0,,,,0,-1,0,0,0,,,0,0,0,-1,0,0
R-000237,1001-0039,UREK,E387M,V 110 EK,Sibir,22400043,EK,NH3,,,,,110,17,,,,15,0,2010,,3,3,,,,0,,,,0,-1,0,0,0,,,0,0,0,-1,0,0
R-000238,1001-0039,CFAC,E397M,MF 214,Vestfrost,AE98280081,E,R134a,,,,,0,0,,,,213,192,1998,,3,3,,,,0,,,,0,-1,0,0,0,,,0,-1,0,0,0,0
R-000239,1001-0039,ILR,E003007,MK304,Vestfrost,20011902014,E,R134A,,,,,218,105,,,,0,0,1998,,3,2,,,,0,,,,0,-1,0,0,0,,,-1,0,0,0,0,0
R-000240,1001-0039,UREG,E386M,V 110 GE,Sibir,22400001,EG,NH3,,,,,110,17,,,,15,0,2001,,3,3,,,,0,,,,0,-1,0,0,0,,,0,0,0,-1,0,0
R-000241,1001-0039,UREK,E385M,V 170 EK,Sibir,71400071,EK,NH3,,,,,170,55,,,,47,36,2001,,3,3,,,,0,,,,0,0,0,-1,0,,,0,0,0,-1,0,0
R-000242,1001-0039,UREG,E390M,GR 245 G/E,Zero,GR1967,EG,NH3,,,,,107,18,,,,20,0,2001,,3,2,,,,0,,,,0,-1,0,0,0,,,0,0,0,-1,0,0
R-000065,1002-0000,SPR,E365M,NRC 30-10,Norcoast,KK007,S,R134a,,,,,15.5,15.5,,,,12.2,0,2007,,1,1,,,,0,,,,0,-1,0,0,0,,,-1,0,0,0,0,0
R-000066,1002-0001,CREG,E388M,RCW 50 EG,Dometic,9460350,EG,NH3,,,,,70,24,,,,0,0,2005,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000067,1002-0001,IFEK,E3102M,GR 265 EK,Zero,3326,EK,NH3,,,,,0,0,,,,215,16,2002,,3,3,,,,0,,,,0,0,0,0,0,,,0,0,-1,0,,
R-000068,1002-0001,IFEK,E3102M,GR 265 EK,Zero,3319,EK,NH3,,,,,0,0,,,,215,16,2002,,3,3,,,,0,,,,0,0,0,0,0,,,0,0,0,-1,,
R-000069,1002-0002,CREG,E388M,RCW 50 EG,Dometic,9450274,EG,NH3,,,,,70,24,,,,0,0,2010,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000070,1002-0002,SPR,E365M,NRC 30-10,Norcoast,,S,R134a,,,,,15.5,15.5,,,,12.2,0,2007,,2,1,,,,0,,,,0,0,0,0,0,,,0,0,0,0,0,0
R-000071,1002-0003,ILR,E003007,MK304,Vestfrost,20011902058,E,R134A,,,,,218,105,,,,0,0,2005,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,,
R-000072,1002-0003,ILR,E3111M,TCW 2000 AC,Dometic,9431957,E,R134A,,,,,118,60,,,,42,0,2010,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000073,1002-0004,UREK,E387M,V 110 EK,Sibir,22400134,EK,NH3,,,,,110,17,,,,15,0,2005,,1,1,,,,0,,,,0,-1,-1,0,0,,,0,0,0,0,0,0
R-000074,1002-0004,UREK,E385M,V 170 EK,Sibir,42100005,EK,NH3,,,,,170,55,,,,47,36,2001,,3,3,,,,0,,,,0,0,0,0,0,,,0,0,0,-1,,
R-000075,1002-0005,CREG,E388M,RCW 50 EG,Dometic,2212068,EG,NH3,,,,,70,24,,,,0,0,2004,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,2,0
R-000076,1002-0005,IFEK,E3102M,GR 265 EK,Zero,3314,EK,NH3,,,,,0,0,,,,215,16,2002,,3,3,,,,0,,,,0,0,0,0,0,,,0,0,0,0,,
R-000077,1002-0006,CREG,E388M,RCW 50 EG,Dometic,9420837,EG,NH3,,,,,70,24,,,,0,0,2005,,1,1,,,,0,,,,0,0,-1,0,0,,,0,0,0,0,0,0
R-000078,1002-0007,CREG,E388M,RCW 50 EG,Dometic,94060336,EG,NH3,,,,,70,24,,,,0,0,2010,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000079,1002-0007,CREG,E388M,RCW 50 EG,Dometic,2212069,EG,NH3,,,,,70,24,,,,0,0,2007,,3,3,,,,0,,,,0,0,0,0,0,,,-1,0,0,0,,
R-000080,1002-0008,URAC,F1100,Non-PQS Upright refrigerator, AC electricity,Unknown,861601006,E,Unknown,,,,,170,55,,,,0,0,2001,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000081,1002-0009,URAC,F1100,Non-PQS Upright refrigerator, AC electricity,Unknown,200646,E,Unknown,,,,,170,55,,,,0,0,2004,,1,1,,,,0,,,,0,-1,0,0,0,,,0,0,0,0,0,0
R-000082,1002-0009,ILR,E003007,MK304,Vestfrost,20011902080,E,R134A,,,,,218,105,,,,0,0,2005,,1,1,,,,0,,,,-1,0,0,0,0,,,0,0,-1,0,0,0
